RANK,NAME,LANGUAGE,TYPE,MOST_STREAMED_GAME,2ND_MOST_STREAMED_GAME,AVERAGE_STREAM_DURATION,FOLLOWERS_GAINED_PER_STREAM,AVG_VIEWERS_PER_STREAM,AVG_GAMES_PER_STREAM,TOTAL_TIME_STREAMED,TOTAL_FOLLOWERS,TOTAL_VIEWS,TOTAL_GAMES_STREAMED,ACTIVE_DAYS_PER_WEEK,MOST_ACTIVE_DAY,DAY_WITH_MOST_FOLLOWERS_GAINED
34,paulinholokobr,Portuguese,personality,Grand Theft Auto V,Slots,3.0,6917,2030,1.2,1618,2930000,86000,15,2.5,Wednesday,Tuesday
35,squeezie,French,personality,Just Chatting,Garry's Mod,3.8,85,113477,1.8,2525,5030000,66700000,287,1.7,Thursday,Saturday
36,kamet0,French,personality,League of Legends,Just Chatting,6.6,6470,37566,2.6,16141,1880000,108000000,604,6.2,Wednesday,Sunday
37,gronkh,German,personality,Just Chatting,Minecraft,6.0,1463,116486,2.7,7598,1680000,112000000,686,3.2,Friday,Friday
38,kingsleagueamericas,Spanish,personality,Sports,Fortnite,3.4,13617,0,1.0,1340,467000,0,3,1.3,Sunday,Wednesday
39,mixwell,Spanish,personality,VALORANT,Counter-Strike,4.8,1124,27368,1.1,4432,1090000,26400000,42,2.3,Sunday,Sunday
40,brawlstars,English,esports,Brawl Stars,Variety,5.8,2048,54303,1.0,8260,332000,8800000,2,0.5,Sunday,Friday
41,summit1g,English,personality,Grand Theft Auto V,Escape from Tarkov,10.1,1861,162001,1.7,26449,6270000,505000000,328,6.7,Tuesday,Saturday
42,lirik,English,personality,Just Chatting,PUBG: BATTLEGROUNDS,6.6,6380,117105,4.0,15993,2970000,422000000,2710,6.1,Sunday,Monday
43,desst3,Spanish,personality,Grand Theft Auto V,Minecraft,5.6,4640,10358,1.3,7586,574000,12800000,44,5.1,Friday,Tuesday
44,wirtual,English,personality,Trackmania,TrackMania 2: Stadium,6.0,6090,6434,1.2,5162,501000,5290000,42,2.3,Friday,Saturday
45,warframe,English,personality,Warframe,Special Events,1.2,1896,30886,1.0,1416,2080000,36300000,2,3.1,Friday,Saturday
46,nicewigg,English,personality,Apex Legends,Call of Duty: Warzone,6.3,4840,9867,1.1,10622,800000,16300000,49,6.1,Tuesday,Sunday
47,stylishnoob4,Japanese,personality,Apex Legends,PUBG: BATTLEGROUNDS,7.6,4870,60412,1.5,14593,1050000,129000000,324,4.9,Friday,Sunday
48,rocketleague,English,esports,Rocket League,,5.0,4823,349645,1.0,426,4220000,312000000,1,2.2,Sunday,Sunday
49,k3soju,English,personality,Teamfight Tactics,Fortnite,8.3,4780,1794,1.1,10868,583000,21900000,24,4.1,Wednesday,Sunday
50,rubius,Spanish,personality,Just Chatting,Minecraft,4.7,11592,212445,3.1,6806,15000000,273000000,616,5.0,Sunday,Wednesday
51,zubarefff,Russian,personality,Just Chatting,Virtual Casino,2.9,3009,0,1.1,138,1820000,464,14,4.5,Sunday,Sunday
52,tenz,English,personality,VALORANT,Counter-Strike,4.2,405,53836,1.4,44,3970000,52800000,99,2.7,Saturday,Sunday
53,otplol_,French,esports,League of Legends,Just Chatting,23.6,5060,72599,1.0,26839,731000,100000000,7,6.5,Friday,Wednesday
54,casimito,Portuguese,personality,Just Chatting,Sports,6.2,3446,33501,2.0,6786,3880000,37800000,75,3.7,Monday,Sunday
55,cameliaaa92,French,personality,Grand Theft Auto V,Just Chatting,4.5,125,0,1.8,2057,553000,0,28,4.2,Wednesday,Sunday
56,piratesoftware,English,personality,Software and Game Development,Science & Technology,7.3,4270,4460,1.3,12373,721000,756000,173,4.8,Monday,Monday
57,alanzoka,Portuguese,personality,Just Chatting,Fortnite,5.8,4221,122314,2.9,11794,7110000,206000000,906,5.2,Thursday,Friday
58,valorant_americas,English,esports,Valorant,,5.9,2796,43529,1.0,1614,752000,11700000,1,1.5,Saturday,Sunday
59,gofns,English,personality,VALORANT,Counter-Strike,6.0,9870,2700,1.1,1967,333000,171000,13,0.9,Thursday,Sunday
60,goa7league,Italian,personality,Just Chatting,,6.2,5017,0,1.0,1910,158000,0,1,0.6,Friday,Sunday
61,nexxuz,Spanish,personality,Grand Theft Auto V,World of Warcraft,4.5,6163,11542,1.5,2480,335000,759000,11,0.2,Tuesday,Sunday
62,ohnepixel,English,personality,Counter-Strike,Just Chatting,6.4,1309,279,1.2,6041,1260000,2690000,40,4.3,Sunday,Friday
63,tsm_imperialhal,English,personality,Apex Legends,Fortnite,6.3,1281,44445,1.0,10637,2029999,70500000,36,4.9,Thursday,Sunday
64,mizkif,English,personality,Just Chatting,World of Warcraft,5.5,1443,71268,2.0,9697,2080000,103000000,323,4.7,Wednesday,Monday
65,zetadivision,Japanese,personality,VALORANT,Just Chatting,5.1,9901,49751,1.0,210,40400,201000,3,0.0,Friday,Tuesday
66,elmariana,Spanish,personality,Just Chatting,Minecraft,3.7,11093,38471,2.5,3404,9610000,33299999,328,4.2,Wednesday,Tuesday
67,angryginge13,English,personality,Grand Theft Auto V,FIFA 23,4.8,1029,3480,1.7,4668,935000,316000,80,5.1,Friday,Sunday
68,lvndmark,English,personality,Escape from Tarkov,Call of Duty: Warzone,9.1,8000,39761,1.2,14685,1260000,62700000,62,6.8,Monday,Friday
69,nmplol,English,personality,Just Chatting,World of Warcraft,4.1,5500,29722,1.4,694,1100000,54700000,161,4.3,Saturday,Saturday
70,bisteconee,Portuguese,personality,Just Chatting,Grand Theft Auto V,4.3,6750,1520,2.4,4065,612000,138000,219,6.7,Wednesday,Friday
71,loltyler1,English,personality,League of Legends,IRL,7.7,303,178397,1.3,14679,5310000,301000000,187,4.8,Wednesday,Tuesday
72,valorant_jpn,Japanese,esports,VALORANT,Variety,7.5,1378,5846,1.0,2985,554000,23400000,2,1.9,Sunday,Saturday
73,bratishkinoff,Russian,personality,Just Chatting,Counter-Strike,4.9,1533,60566,1.8,8865,2900000,114000000,482,4.7,Thursday,Wednesday
74,noway4u_sir,German,personality,League of Legends,VALORANT,7.6,1520,23556,1.2,19176,679000,101000000,101,6.5,Wednesday,Sunday
75,forsen,English,personality,Just Chatting,Minecraft,6.2,5020,51554,2.7,14686,1750000,171000000,1334,6.1,Wednesday,Sunday
76,easportsfc,English,esports,FIFA 21,FIFA 22,4.8,7474,129293,1.0,2203,3520000,63100000,10,1.2,Friday,Thursday
77,alondrissa,Spanish,personality,Just Chatting,Grand Theft Auto V,3.6,9210,880,1.5,2652,723000,68800,55,5.6,Wednesday,Monday
78,youngmulti,Polish,personality,Just Chatting,Grand Theft Auto V,5.8,2324,16052,2.2,3025,1150000,9490000,205,2.9,Tuesday,Monday
79,s0mcs,English,personality,VALORANT,Counter-Strike,5.8,7410,11273,1.3,856,1140000,17400000,72,4.2,Tuesday,Sunday
80,rainbow6,English,esports,Tom Clancy's Rainbow Six Siege,Variety,7.4,2031,82334,1.0,8775,2830000,115000000,2,3.0,Thursday,Sunday
81,fantasista_jp,Japanese,personality,Grand Theft Auto V,VALORANT,6.3,2010,440,1.1,5182,267000,58000,55,2.5,Sunday,Saturday
82,sodapoppin,English,personality,World of Warcraft,Just Chatting,7.0,4259,14594,3.9,14929,8890000,398000000,2084,5.4,Saturday,Friday
83,spursito,Spanish,personality,Just Chatting,Grand Theft Auto V,2.7,1282,11461,1.2,2918,1460000,13000000,47,2.8,Sunday,Sunday
84,jltomy,French,personality,Grand Theft Auto V,Just Chatting,6.1,6300,25285,2.8,12057,1250000,50300000,239,5.9,Wednesday,Sunday
85,emiru,English,personality,League of Legends,Just Chatting,3.1,1614,17198,1.5,3867,1510000,16100000,133,3.2,Thursday,Monday
86,recrent,Russian,personality,PUBG: BATTLEGROUNDS,Call of Duty: Warzone,7.7,5270,3073,1.6,16864,1270000,74300000,157,6.3,Tuesday,Wednesday
87,kanae_2434,Japanese,personality,Grand Theft Auto V,VALORANT,5.2,9370,2659,1.4,2724,582000,1650000,66,1.7,Friday,Saturday
88,baiano,Portuguese,personality,League of Legends,Just Chatting,8.4,8790,53242,1.1,10107,1000000,60500000,22,3.1,Saturday,Saturday
89,moonmoon,English,personality,Overwatch,Grand Theft Auto V,6.1,3690,34598,1.3,15957,1190000,99500000,561,6.7,Tuesday,Friday
90,thebausffs,English,personality,League of Legends,Overwatch 2,5.5,9430,16707,1.0,7317,1250000,22100000,14,4.4,Monday,Sunday
91,fissure_cs_eng,English,personality,Counter-Strike,,6.0,2560,18637,1.0,6078,147000,14200000,1,1.5,Tuesday,Tuesday
92,imantado,Spanish,personality,Just Chatting,Grand Theft Auto V,4.5,6830,3173,1.9,5713,909000,4220000,210,5.8,Wednesday,Sunday
93,handofblood,German,personality,PUBG: BATTLEGROUNDS,Fortnite,4.8,2405,50115,1.7,1944,1120000,22500000,155,1.0,Wednesday,Saturday
94,esports_rage,Japanese,esports,Apex Legends,VALORANT,7.8,248,36289,1.0,6740,209000,3050000,5,0.5,Sunday,Saturday
95,tck10,Portuguese,personality,VALORANT,Virtual Casino,7.8,4450,2648,1.1,8245,481000,2860000,29,4.8,Wednesday,Sunday
96,esl_dota2,English,esports,Dota 2,,20.3,6060,54843,1.0,34047,802000,93100000,1,4.4,Friday,Sunday
97,xayoo_,Polish,personality,League of Legends,Just Chatting,6.4,1457,76275,2.0,5564,1030000,53700000,132,2.2,Sunday,Sunday
98,rostislav_999,Russian,personality,Dota 2,Just Chatting,3.9,114,7175,1.1,2873,868000,5470000,14,3.2,Monday,Monday
99,gorgc,English,personality,Dota 2,PUBG: BATTLEGROUNDS,6.6,3120,3621,1.1,15475,720000,83400000,88,6.2,Monday,Monday
100,buster,Russian,personality,Just Chatting,Fortnite,3.2,2963,85485,1.7,4024,3950000,114000000,125,3.5,Wednesday,Friday
101,domingo,French,personality,Just Chatting,League of Legends,4.5,9150,61195,2.0,7294,1780000,121000000,443,4.1,Tuesday,Sunday
102,elxokas,Spanish,personality,World of Warcraft,Just Chatting,6.2,2134,5243,1.6,11068,3940000,96900000,137,5.0,Monday,Monday
103,quackitytoo,Spanish,personality,Minecraft,Just Chatting,1.9,18808,14365,1.3,5170,4620000,3510000,33,1.6,Friday,Wednesday
104,k4sen,Japanese,personality,League of Legends,VALORANT,6.2,4280,5546,1.4,8836,786000,10200000,248,3.7,Tuesday,Sunday
105,s1mple,English,personality,Counter-Strike,VALORANT,3.5,7152,18628,1.1,1889,3740000,99100000,20,1.4,Wednesday,Monday
106,silvername,Russian,personality,Hearthstone,Dota 2,6.2,3430,694,1.2,12717,862000,159000000,115,5.3,Thursday,Wednesday
107,gotaga,French,personality,Fortnite,Teamfight Tactics,6.9,1893,83426,1.8,14351,4330000,185000000,187,5.3,Monday,Monday
108,tolkin,German,personality,League of Legends,Teamfight Tactics,6.4,1580,6062,1.3,10965,309000,11800000,105,5.4,Thursday,Wednesday
109,djmariio,Spanish,personality,EA Sports FC 24,Sports,4.0,6534,12638,1.3,8650,1540000,3220000,12,0.7,Friday,Friday
110,shadowkekw,Russian,personality,Just Chatting,Counter-Strike,2.3,6190,10742,1.4,2093,562000,9740000,63,4.3,Saturday,Sunday
111,valorant_pacific,English,esports,Valorant,,6.4,177,3556,1.0,1121,315000,634000,1,1.2,Sunday,Saturday
112,revedtv,German,personality,Just Chatting,Minecraft,6.5,1383,31529,2.2,5526,1110000,25100000,253,2.8,Wednesday,Saturday
113,hinanotachiba7,Japanese,personality,VALORANT,League of Legends,5.2,1235,2410,1.2,1869,467000,94200,29,3.1,Wednesday,Tuesday
114,quin69,English,personality,Path of Exile,World of Warcraft,8.7,2520,38716,1.4,22547,840000,113000000,272,6.6,Thursday,Monday
115,luquet4,Portuguese,personality,Grand Theft Auto V,Counter-Strike,7.8,2233,5657,1.5,6787,1760000,4450000,33,3.0,Thursday,Friday
116,rivers_gg,Spanish,personality,Just Chatting,Minecraft,3.6,8757,6622,2.1,2634,6060000,4560000,204,5.6,Tuesday,Wednesday
117,paymoneywubby,English,personality,Just Chatting,Fortnite,3.5,6470,12124,1.4,3465,634000,11900000,114,3.0,Thursday,Sunday
118,elspreen,Spanish,personality,Just Chatting,Minecraft,3.1,1067,37943,2.4,3527,9240000,32900000,189,3.2,Tuesday,Tuesday
119,warcraft,English,esports,World of Warcraft,,5.6,1603,147236,1.0,2844,803000,82600000,1,1.0,Saturday,Tuesday
120,cellbit,Portuguese,personality,Just Chatting,Tabletop RPGs,5.6,2462,62004,3.0,9223,3360000,84100000,1151,4.2,Saturday,Sunday
121,clix,English,personality,Fortnite,Just Chatting,4.4,4766,78053,1.2,7467,7540000,123000000,49,5.5,Wednesday,Friday
122,maximilian_dood,English,personality,Just Chatting,Monster Hunter: World,6.8,4610,33731,2.1,13589,1280000,84300000,1121,5.1,Monday,Tuesday
123,dkincc,Russian,personality,Just Chatting,Grand Theft Auto V,5.0,2739,1608,1.0,8130,471000,370000,10,0.5,Wednesday,Sunday
124,knekro,Spanish,personality,League of Legends,Just Chatting,6.5,6630,37604,2.4,1295,1140000,64400000,724,5.7,Tuesday,Tuesday
125,eslcsb,English,esports,Counter-Strike,,6.5,1084,59976,1.0,6053,1240000,67000000,1,2.4,Wednesday,Sunday
126,valorant_emea,English,esports,Valorant,,7.8,1591,10674,1.0,2297,576000,3860000,1,1.6,Saturday,Wednesday
127,trymacs,German,personality,Fortnite,Clash Royale,6.0,1611,6778,1.9,12653,3560000,148000000,173,5.3,Monday,Thursday
128,thesketchreal,English,personality,Madden NFL 24,Just Chatting,2.6,7574,0,1.2,3030,962000,0,25,2.6,Friday,Thursday
129,ironmouse,English,personality,Just Chatting,Minecraft,5.6,1699,1866,2.0,7369,1960000,21500000,393,4.3,Friday,Friday
130,plaqueboymax,English,personality,Just Chatting,Music,4.5,1035,2200,1.7,3208,735000,157000,66,4.5,Monday,Monday
131,dmitry_lixxx,Russian,personality,Just Chatting,Counter-Strike,4.2,8330,26405,2.2,6441,1410000,44700000,422,4.9,Saturday,Friday
132,elajjaz,English,personality,Dark Souls,ELDEN RING,8.1,1370,25834,2.1,18785,481000,70400000,1148,5.9,Wednesday,Sunday
133,therealknossi,German,personality,Just Chatting,Poker,4.6,1766,40784,1.5,14505,2340000,68700000,48,3.7,Thursday,Saturday
134,agent00,English,personality,Just Chatting,Grand Theft Auto V,4.9,2738,6160,2.1,3487,1560000,361000,140,1.8,Thursday,Tuesday
135,wtcn,Turkish,personality,VALORANT,Just Chatting,4.8,1556,75799,2.5,8948,2930000,142000000,260,4.8,Friday,Tuesday
136,gamerbrother,German,personality,FIFA 23,EA Sports FC 24,5.1,1325,9215,1.5,2207,570000,3620000,22,3.5,Friday,Tuesday
137,esfandtv,English,personality,World of Warcraft,Just Chatting,8.6,5880,35686,2.1,18613,1350000,81900000,327,6.2,Thursday,Monday
138,nikof,French,personality,Fortnite,Rust,4.7,5850,8528,1.2,4951,649000,9460000,57,3.4,Saturday,Sunday
139,jonvlogs,Portuguese,personality,Grand Theft Auto V,Just Chatting,8.7,1854,12474,1.6,8848,1970000,13400000,71,2.6,Friday,Wednesday
140,ramee,English,personality,Grand Theft Auto V,VALORANT,7.1,4660,32957,1.2,9943,589000,41700000,56,3.9,Wednesday,Wednesday
141,xmerghani,Polish,personality,Just Chatting,Grand Theft Auto V,4.5,8840,6828,2.5,305,562000,4310000,136,4.1,Wednesday,Saturday
142,rezo,German,personality,Just Chatting,Gartic Phone,4.2,3015,33173,1.3,8930,656000,7100000,30,1.2,Sunday,Saturday
143,cohhcarnage,English,personality,Path of Exile,Talk Shows & Podcasts,7.4,1670,32809,1.2,20458,1570000,223000000,907,7.0,Friday,Thursday
144,jasontheween,English,personality,Just Chatting,VALORANT,6.0,5780,20,2.5,3121,302000,1200,158,1.7,Thursday,Monday
145,gocchanmikey,Japanese,personality,Grand Theft Auto V,Rust,8.2,8340,0,1.2,1426,164000,0,34,1.9,Tuesday,Sunday
146,simurgh,English,personality,Ashes of Creation,The Elder Scrolls Online,3.5,1038,4090,1.5,6262,1480000,639000,227,4.6,Sunday,Friday
147,jasper7se,Japanese,personality,VALORANT,League of Legends,6.6,4480,23844,1.3,897,613000,32600000,117,3.5,Saturday,Sunday
148,leb1ga,Ukrainian,personality,Just Chatting,Counter-Strike,2.6,1597,20,1.1,5420,332000,7700,12,1.0,Tuesday,Sunday
149,riotgamesjp,Japanese,esports,League of Legends,League of Legends: Wild Rift,5.8,3710,78443,1.0,4473,310000,63500000,7,2.0,Saturday,Sunday
150,mastersnakou,French,personality,Just Chatting,Escape from Tarkov,6.0,1890,11807,2.4,13356,685000,33800000,745,5.7,Friday,Sunday
151,stray228,Russian,personality,Dota 2,The Last of Us Part II,6.0,7340,55905,1.0,12578,1600000,120000000,14,5.4,Wednesday,Thursday
152,northernlion,English,personality,Super Auto Pets,The Binding of Isaac: Repentance,3.8,2600,13005,2.5,7653,688000,37000000,830,5.1,Thursday,Tuesday
153,stableronaldo,English,personality,Fortnite,Just Chatting,3.9,3302,47216,2.0,4075,3090000,44200000,112,3.8,Saturday,Sunday
154,bren_tm2,English,personality,Trackmania,TrackMania (1),3.9,1980,3449,1.1,3348,162000,2800000,32,2.9,Tuesday,Sunday
155,unboxholics,English,personality,Variety,Talk Shows & Podcasts,2.1,1329,33493,1.0,1173,459000,12000000,190,1.4,Friday,Friday
156,davooxeneize,Spanish,personality,Just Chatting,Winning Eleven: Pro Evolution Soccer 2007,5.1,2075,2102,1.2,4449,1860000,1880000,9,4.8,Tuesday,Monday
157,hiiragitsurugi,Japanese,personality,Grand Theft Auto V,VALORANT,7.0,1024,0,1.2,1104,179000,0,15,4.3,Thursday,Saturday
158,hanjoudesu,Japanese,personality,Apex Legends,VALORANT,5.7,3310,4251,1.3,427,271000,3480000,88,4.0,Wednesday,Sunday
159,gabepeixe,Portuguese,personality,Just Chatting,Grand Theft Auto V,8.8,1373,17551,2.8,11963,1520000,19500000,280,3.8,Wednesday,Sunday
160,roger9527,Chinese,personality,Hearthstone,League of Legends,7.5,3330,33004,1.5,3543,196000,18200000,46,1.2,Friday,Sunday
161,juansguarnizo,Spanish,personality,Just Chatting,Grand Theft Auto V,5.2,5678,84694,2.7,11163,11200000,168000000,333,5.5,Thursday,Friday
162,locklear,French,personality,Just Chatting,Overwatch,5.3,1195,35123,2.1,10867,2200000,64700000,531,5.3,Wednesday,Thursday
163,bysl4m,Russian,personality,Counter-Strike,VALORANT,6.1,6420,1491,1.1,2753,314000,2770000,13,1.2,Friday,Saturday
164,sasatikk,Japanese,personality,Escape from Tarkov,Rust,7.1,2230,1098,1.6,10745,344000,16900000,237,3.9,Monday,Sunday
165,pauleta_twitch,French,personality,Just Chatting,Call of Duty: Modern Warfare III,3.4,8660,6531,1.4,3149,613000,4530000,50,2.4,Monday,Wednesday
166,magic,English,esports,Magic: The Gathering,Magic: The Gathering (1),4.8,2950,55757,1.0,7211,472000,121000000,2,2.9,Thursday,Sunday
167,lenagol0vach,Russian,personality,Hearthstone,Dota 2,5.9,3810,18774,1.4,7782,585000,29500000,30,3.4,Sunday,Sunday
168,antoinedaniel,French,personality,GeoGuessr,Just Chatting,4.6,8460,30484,1.4,6241,1030000,37300000,249,4.0,Monday,Sunday
169,dreadztv,Russian,personality,Dota 2,Mount & Blade II: Bannerlord,8.2,2340,94945,2.1,11445,715000,199000000,309,3.6,Wednesday,Thursday
170,lacy,English,personality,Fortnite,Just Chatting,5.6,1021,60,1.3,3064,537000,3500,52,2.6,Monday,Sunday
171,fortnite,English,esports,Fortnite,,5.2,18889,352166,1.0,1726,5880000,110000000,1,0.9,Sunday,Tuesday
172,sykkuno,English,personality,Grand Theft Auto V,League of Legends,5.0,4688,123683,2.4,5014,3930000,104000000,155,3.5,Wednesday,Thursday
173,botezlive,English,personality,Chess,Just Chatting,4.2,8420,56182,1.4,6409,1300000,86400000,77,4.0,Friday,Sunday
174,m0nesyof,Russian,personality,Counter-Strike,Dota 2,3.1,264,31467,1.1,1152,1000000,11900000,13,1.2,Saturday,Monday
175,esl_dota2ember,English,esports,Dota 2,,20.4,8270,148524,1.0,2343,605000,137000000,1,2.9,Wednesday,Tuesday
176,wankilstudio,French,personality,Just Chatting,Minecraft,3.2,1578,28771,1.8,2282,1250000,25500000,483,1.8,Sunday,Tuesday
177,rdcgaming,English,personality,Fortnite,Call of Duty: Warzone,3.8,1241,3957,1.8,2227,717000,2270000,172,1.5,Wednesday,Sunday
178,aztecross,English,personality,Destiny 2,Destiny,5.0,3060,1959,1.1,7012,446000,2850000,107,3.6,Tuesday,Tuesday
179,worldoftanks,English,esports,World of Tanks,Project CW,3.8,5960,37723,1.0,293,462000,29300000,2,2.3,Friday,Sunday
180,evo,English,esports,Special Events,Tekken 7,8.4,6359,338908,2.5,6140,571000,53500000,40,0.2,Monday,Sunday
181,amazonmusic,English,personality,Music,Just Chatting,2.2,8030,73454,1.0,1768,692000,65000000,15,2.0,Tuesday,Sunday
182,guilty1223,Japanese,personality,VALORANT,Grand Theft Auto V,6.4,1070,3460,1.1,714,158000,512000,109,5.7,Wednesday,Wednesday
183,cr_vanilla,Japanese,personality,Grand Theft Auto V,Rust,6.2,7510,0,1.0,1695,225000,0,46,3.7,Wednesday,Sunday
184,h2p_gucio,Polish,personality,Just Chatting,League of Legends,6.7,2200,24403,3.2,14031,421000,46300000,797,5.4,Sunday,Wednesday
185,jesusavgn,Russian,personality,Just Chatting,IRL,4.7,8940,38859,2.2,8782,1780000,75600000,551,4.8,Saturday,Thursday
186,rdjavi,Spanish,personality,Grand Theft Auto V,Just Chatting,3.6,1034,4450,1.9,2691,756000,325000,38,4.4,Friday,Thursday
187,maximebiaggi,French,personality,Minecraft,Just Chatting,3.1,2008,1055,1.4,106,665000,349000,43,1.8,Monday,Monday
188,joueur_du_grenier,French,personality,Just Chatting,Special Events,4.3,1349,32261,2.0,2843,974000,22400000,341,2.2,Sunday,Saturday
189,skywhywalker,Russian,personality,Counter-Strike,Just Chatting,4.2,1418,7920,1.5,2586,866000,484000,49,2.4,Sunday,Sunday
190,nba2kleague,English,esports,NBA 2K22,NBA 2K20,3.0,2610,211701,1.0,2882,237000,192000000,8,3.0,Saturday,Saturday
191,wenlobong,Chinese,personality,Just Chatting,Street Fighter 6,4.2,2170,19944,1.1,1329,71100,6520000,16,1.5,Sunday,Friday
192,vodkavdk,Japanese,personality,VALORANT,Apex Legends,5.8,5110,1105,1.3,4939,526000,1170000,88,2.2,Saturday,Sunday
193,schlatt,English,personality,Minecraft,Just Chatting,2.6,10314,23397,1.1,5520,2120000,4820000,38,0.7,Saturday,Saturday
194,mrsavage,English,personality,Fortnite,Minecraft,4.2,3713,37588,1.1,4223,4110000,41600000,42,3.2,Saturday,Sunday
195,bykingcl,Spanish,personality,Just Chatting,Fortnite,2.6,2580,2720,1.7,2921,262000,276000,36,5.0,Wednesday,Sunday
196,tectone,English,personality,Genshin Impact,Just Chatting,5.5,6480,11474,1.7,8008,951000,16800000,285,5.3,Thursday,Tuesday
